"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_16310000","Oil and gas asset","16310000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_oil_gas_assets","油气资产"
"mjb_l10n_cn_16320000","Accumulated depletion","16320000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_non_current_assets","累计折耗"
"mjb_l10n_cn_17010000","Intangible Assets (IA)","17010000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_intangible_assets","无形资产"
"mjb_l10n_cn_17020000","Accumulated amortization","17020000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_intangible_assets_minus","累计摊销"
"mjb_l10n_cn_17030000","Provision of intangible asset impairement","17030000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_intangible_assets_minus","无形资产减值准备"
"mjb_l10n_cn_17110000","Goodwill","17110000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_goodwill","商誉"
"mjb_l10n_cn_18010000","Long-term deferred and prepaid expenses","18010000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_assets","长期待摊费用"
"mjb_l10n_cn_18110000","Deferred tax asset","18110000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_income_tax_assets","递延所得税资产"
"mjb_l10n_cn_18120000","Separate account assets","18120000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_non_current_assets","独立账户资产"
"mjb_l10n_cn_19010000","Wait deal assets loss or income","19010000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_non_current_assets","待处理财产损溢"
"mjb_l10n_cn_20010000","Short term Loan & Debt (LD)","20010000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款"
"mjb_l10n_cn_20010100","LD - Intra - Short term","20010100","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款 - 集团内部"
"mjb_l10n_cn_20010200","LD - Non intra - Short term","20010200","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款 - 集团外部"
"mjb_l10n_cn_20010300","LD - Due interest - Short term","20010300","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款 - 借款利息"
"mjb_l10n_cn_20010310","LD - On intra - Short term Due interest","20010310","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款 - 集团内部借款利息"
"mjb_l10n_cn_20010320","LD - Non intra - Short term Due interest","20010320","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","短期借款 - 集团外部借款利息"
"mjb_l10n_cn_20020000","Guarantee deposits & margins received","20020000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","存入保证金"
"mjb_l10n_cn_20030000","Borrowed inter-bank funds","20030000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","拆入资金"
"mjb_l10n_cn_20040000","Lending to the Central Bank","20040000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","向中央银行借款"
